Id,Title,CreationDate,Tags,AnswerCount,ViewCount,CommentCount,FavoriteCount,Score,Body
27054162,"what are REST,RESTFul, SOA and microservices in simple terms?",2014-11-21 04:31:46,<rest><soa><microservices>,2,19619,3,11.0,23,"<p>I thought I knew what REST/""RESTFul"", restfulservices, webservices, SOA and microservices were but I came across so many different definitions that I reached the conclusion that those terms are overused, misused , or simply badly defined.</p>&#xA;&#xA;<p>I hope to have a clear understanding of what the aforementioned terms represent, their concrete definition , their commonality and differences, advantages vs disadvantages, and most importantly the bottom line - the most important things to remember in order to use those terms appropriately. </p>&#xA;"
27007353,How does data denormalization work with the Microservice Pattern?,2014-11-19 01:25:07,<database><denormalization><microservices>,4,6219,4,21.0,62,"<p>I just read an article on <a href=""http://java.dzone.com/articles/microservices-and-paas-part-2"">Microservices and PaaS Architecture</a>. In that article, about a third of the way down, the author states (under <strong>Denormalize like Crazy</strong>):</p>&#xA;&#xA;<blockquote>&#xA;  <p>Refactor database schemas, and de-normalize everything, to allow complete separation and partitioning of data. That is, do not use underlying tables that serve multiple microservices. There should be no sharing of underlying tables that span multiple microservices, and no sharing of data. Instead, if several services need access to the same data, it should be shared via a service API (such as a published REST or a message service interface).</p>&#xA;</blockquote>&#xA;&#xA;<p>While this <em>sounds</em> great in theory, in practicality it has some serious hurdles to overcome. The biggest of which is that, often, databases are tightly coupled and every table has <em>some</em> foreign key relationship with at least one other table. Because of this it could be impossible to partition a database into <em>n</em> sub-databases controlled by <em>n</em> microservices.</p>&#xA;&#xA;<p>So I ask: <strong>Given a database that consists entirely of related tables, how does one denormalize this into smaller fragments (groups of tables) so that the fragments can be controlled by separate microservices?</strong></p>&#xA;&#xA;<p>For instance, given the following (rather small, but exemplar) database:</p>&#xA;&#xA;<pre><code>[users] table&#xA;=============&#xA;user_id&#xA;user_first_name&#xA;user_last_name&#xA;user_email&#xA;&#xA;[products] table&#xA;================&#xA;product_id&#xA;product_name&#xA;product_description&#xA;product_unit_price&#xA;&#xA;[orders] table&#xA;==============&#xA;order_id&#xA;order_datetime&#xA;user_id&#xA;&#xA;[products_x_orders] table (for line items in the order)&#xA;=======================================================&#xA;products_x_orders_id&#xA;product_id&#xA;order_id&#xA;quantity_ordered&#xA;</code></pre>&#xA;&#xA;<p>Don't spend too much time critiquing my design, I did this on the fly. The point is that, to me, it makes logical sense to split this database into 3 microservices:</p>&#xA;&#xA;<ol>&#xA;<li><code>UserService</code> - for CRUDding users in the system; should ultimately manage the <code>[users]</code> table; and</li>&#xA;<li><code>ProductService</code> - for CRUDding products in the system; should ultimately manage the <code>[products]</code> table; and</li>&#xA;<li><code>OrderService</code> - for CRUDding orders in the system; should ultimately manage the <code>[orders]</code> and <code>[products_x_orders]</code> tables</li>&#xA;</ol>&#xA;&#xA;<p>However all of these tables have foreign key relationships with each other. If we denormalize them and treat them as monoliths, they lose all their semantic meaning:</p>&#xA;&#xA;<pre><code>[users] table&#xA;=============&#xA;user_id&#xA;user_first_name&#xA;user_last_name&#xA;user_email&#xA;&#xA;[products] table&#xA;================&#xA;product_id&#xA;product_name&#xA;product_description&#xA;product_unit_price&#xA;&#xA;[orders] table&#xA;==============&#xA;order_id&#xA;order_datetime&#xA;&#xA;[products_x_orders] table (for line items in the order)&#xA;=======================================================&#xA;products_x_orders_id&#xA;quantity_ordered&#xA;</code></pre>&#xA;&#xA;<p><strong>Now there's no way to know who ordered what, in which quantity, or when.</strong></p>&#xA;&#xA;<p>So is this article typical academic hullabaloo, or is there a real world practicality to this denormalization approach, and if so, what does it look like (bonus points for using my example in the answer)?</p>&#xA;"
25595492,Single Sign-On in Microservice Architecture,2014-08-31 19:26:54,<security><cloud><single-sign-on><microservices><paas>,2,13805,3,22.0,37,<p>I'm trying to design a green-field project that will have several services (serving data) and web-applications (serving HTML). I've read about microservices and they look like good fit.</p>&#xA;&#xA;<p>The problem I still have is how to implement SSO. I want the user to authenticate once and have access to all the different services and applications.</p>&#xA;&#xA;<p>I can think of several approaches:</p>&#xA;&#xA;<ol>&#xA;<li><p>Add Identity service and application. Any service that has protected resources will talk to the Identity service to make sure the credentials it has are valid. If they are not it will redirect the user for authentication.</p></li>&#xA;<li><p>Use a web-standard such as OpenID and have each service handle it own identities. This means the user will have to authorize individually each service/application but after that it will be SSO.</p></li>&#xA;</ol>&#xA;&#xA;<p>I'll be happy to hear other ideas. If a specific PaaS (such as Heroku) has a proprietary solution that would also be acceptable.</p>&#xA;
29460485,Microservices Architecture: Cross Service data sharing,2015-04-05 18:03:50,<web-services><architecture><microservices>,3,7356,2,17.0,22,"<p>Consider the following micro services for an online store project:<br>&#xA;Users Service keeps account data about the store's users (including first name, last name, email address, etc')</p>&#xA;&#xA;<p>Purchase Service keeps track of details about user's purchases.</p>&#xA;&#xA;<p>Each service provides a UI for viewing and managing it's relevant entities.&#xA;The Purchase Service index page lists purchases. Each purchase item should have the following fields:<br>&#xA;id, full name of purchasing user, purchased item title and price.<br>&#xA;Furthermore, as part of the index page, I'd like to have a search box to let the store manager search purchases by purchasing user name.</p>&#xA;&#xA;<p>It is not clear to me how to get back data which the Purchase Service does not hold - for example: a user's full name.&#xA;The problem gets worse when trying to do more complicated things like search purchases by purchasing user name.</p>&#xA;&#xA;<p>I figured that I can obviously solve this by syncing users between the two services by broadcasting some sort of event on user creation (and saving only the relevant user properties on the Purchase Service end). That's far from ideal in my perspective. How do you deal with this when you have millions of users? would you create millions of records in each service which consumes users data?</p>&#xA;&#xA;<p>Another obvious option is exposing an API at the Users Service end which brings back user details based on given ids. That means that every page load in the Purchase Service, I'll have to make a call to the Users Service in order to get the right user names. Not ideal, but I can live with it.</p>&#xA;&#xA;<p>What about implementing a purchase search based on user name? Well I can always expose another API endpoint at the Users Service end which receives the query term, perform a text search over user names in the Users Service, and then return all user details which match the criteria. At the Purchase Service, map the relevant ids back to the right names and show them in the page. This approach is not ideal either.</p>&#xA;&#xA;<p>Am I missing something? Is there another approach for implementing the above? Maybe the fact that I'm facing this issue is sort of a code smell? would love to hear other solutions.</p>&#xA;"
33399988,Microservices: datasource per instance or per microservice?,2015-10-28 19:31:53,<database><design><architecture><microservices>,5,2501,1,4.0,12,"<p>Building microservice architecture I faced the problem of data sharing between instances of the same microservice.</p>&#xA;&#xA;<p>I have microservice, that massively uses it's datasource - every request to service cause database request (usually insert). This service will be used very heavily and I plan to hide multiple instances behind Load Balancer. And here rises a question: shall these instances use ONE database (will the database be a bottleneck?) or MULTIPLE (datasource per instance) have?</p>&#xA;"
26616962,Microservices: What are smart endpoints and dumb pipes?,2014-10-28 19:33:01,<architecture><soa><messaging><distributed><microservices>,6,13620,0,7.0,15,"<p>I have read an article ""<a href=""http://martinfowler.com/articles/microservices.html#SmartEndpointsAndDumbPipes"" rel=""noreferrer"">Microservices</a>"" by Martin Fowler and find it difficult to understand <strong>smart endpoint</strong>s and <strong>dumb pipes</strong>. Please explain these terms, examples are welcome.</p>&#xA;"
26866479,Architecture of a microservice based web app,2014-11-11 13:53:31,<web-applications><soa><microservices>,4,6863,0,6.0,25,"<p>I am confused about the point at which a web application diverges into microservices - is it at url level or models level?&#xA;As an example, Suppose I have a monolithic app that serves 3 pages. Say each page serves a separate usecase and i want to back eack of them with their own microservices. Now, which of these is the correct way of implementing a microservice based architecture:</p>&#xA;&#xA;<ul>&#xA;<li>I create three different apps(microservices), each containing the (route, controller, models, templates) for one of the pages. And then based on which ever page is requested, I route the request to that particular app. This means that the whole page from database to HTML is served by a separate app. Basically, different pages in the same website are being completely served by different apps on the backend.</li>&#xA;<li>The 3 microservices do not handle the UI stuff but only the data for their usecases(models, controller, no templates) and expose it over a REST api. I have one public facing app. This app queries the three different apps(microservices) only for the data and then builds the html pages to be returned to browser. All the pages in a web app in this case are being served by a single app which internally makes use of three different microservices.</li>&#xA;</ul>&#xA;&#xA;<p><img src=""https://i.stack.imgur.com/b62O1.png"" alt=""enter image description here""></p>&#xA;"
31044380,Microservices authentication,2015-06-25 07:53:17,<rest><microservices>,4,3308,0,4.0,9,"<p><strong>Context</strong></p>&#xA;&#xA;<p>I have multiple services like :</p>&#xA;&#xA;<ul>&#xA;<li>User (LDAP or active directory etc...)</li>&#xA;<li>Billing</li>&#xA;<li>Planning</li>&#xA;<li>etc...</li>&#xA;<li>Authentication</li>&#xA;</ul>&#xA;&#xA;<p>I need to connect on my microservices Using OAuth2.0, for beginning, using the standard login / password (I use my own data, and not gettint a third leg server)</p>&#xA;&#xA;<p><strong>Problem</strong></p>&#xA;&#xA;<p>According to these pictures :</p>&#xA;&#xA;<p><em>Step 1</em></p>&#xA;&#xA;<p><img src=""https://i.stack.imgur.com/csUn0.jpg"" alt=""enter image description here""></p>&#xA;&#xA;<p><em>Step 2</em></p>&#xA;&#xA;<p><img src=""https://i.stack.imgur.com/xmohK.jpg"" alt=""enter image description here""></p>&#xA;&#xA;<p>How can I handle access_token control or authorization control, in my other services than authmicroservice ?</p>&#xA;"
31104540,DB consistency with microservices,2015-06-28 20:42:03,<database><soa><microservices>,4,4038,1,10.0,29,"<p>What is the best way to achieve DB consistency in microservice-based systems?</p>&#xA;&#xA;<p>At the <a href=""https://www.youtube.com/watch?v=wgdBVIX9ifA"" rel=""noreferrer"">GOTO in Berlin</a>, Martin Fowler was talking about microservices and one ""rule"" he mentioned was to keep ""per-service"" databases, which means that services cannot directly connect to a DB ""owned"" by another service.</p>&#xA;&#xA;<p>This is super-nice and elegant but in practice it becomes a bit tricky. Suppose that you have a few services:</p>&#xA;&#xA;<ul>&#xA;<li>a frontend</li>&#xA;<li>an order-management service</li>&#xA;<li>a loyalty-program service</li>&#xA;</ul>&#xA;&#xA;<p>Now, a customer make a purchase on your frontend, which will call the order management service, which will save everything in the DB -- no problem. At this point, there will also be a call to the loyalty-program service so that it credits / debits points from your account.</p>&#xA;&#xA;<p>Now, when everything is on the same DB / DB server it all becomes easy since you can run everything in one transaction: if the loyalty program service fails to write to the DB we can roll the whole thing back.</p>&#xA;&#xA;<p>When we do DB operations throughout multiple services this isn't possible, as we don't rely on one connection / take advantage of running a single transaction.&#xA;What are the best patterns to keep things consistent and live a happy life?</p>&#xA;&#xA;<p>I'm quite eager to hear your suggestions!..and thanks in advance!</p>&#xA;"
30286443,Microservices: How to store source code of many microservices?,2015-05-17 11:30:44,<git><microservices>,3,6232,0,8.0,29,"<p>Currently, I have <strong>20 microservices</strong> for one project. And every microservice stored in separate GIT reposotiry. &#xA;Subsequently, the number of services will increase <strong>to 200 (or more)</strong>.</p>&#xA;&#xA;<p>Every service has unit tests and integration tests. Every service has build in TeamCity (Continuous integration server). </p>&#xA;&#xA;<p>Question: How to store source code of 200 microservices for one project? In one repository or in separate repositories? </p>&#xA;"
36407520,Spring Cloud/Boot vs Wildfly Swarm,2016-04-04 16:02:13,<java><spring-boot><microservices><wildfly-9><wildfly-swarm>,1,5675,4,4.0,12,"<p>I have doing some analysis of modern Container less Java Stack on net, two Major promising things i came about was:</p>&#xA;&#xA;<ol>&#xA;<li>Spring Boot/Cloud (Packed in Tomcat or Jetty,...)</li>&#xA;<li>Wildfly Swarm (Moduler Wildfly 9 Server with minimum possible components)</li>&#xA;</ol>&#xA;&#xA;<p>Yes both have their own features but i have not been able to find out a good comparison of both as both thing are in my point of view better then each other but still i have to decide what good for implementing,</p>&#xA;&#xA;<ol>&#xA;<li>Good for Developer health</li>&#xA;<li>Complex Enterprise logic</li>&#xA;<li>Scalability</li>&#xA;<li>Hot deployments</li>&#xA;<li>Microservice Approach</li>&#xA;<li>Enterprise Integration Patterns</li>&#xA;<li>Continuous Delivery Pipeline.</li>&#xA;</ol>&#xA;&#xA;<p>Thanks for your thoughts</p>&#xA;&#xA;<p>Zaheer  </p>&#xA;"
34903605,Microservices: what are pros and cons?,2016-01-20 15:08:36,<architecture><microservices>,2,9224,0,7.0,20,<p>What are pros and cons of using microservices in comparison with alternative architectures?&#xA;Is there a rule of thumb when microservices should be used?</p>&#xA;
35381163,Best practice to organize authorization in microservice architecture?,2016-02-13 14:34:27,<authentication><architecture><authorization><microservices>,1,3241,8,3.0,9,"<p>For example, I have 3 services:</p>&#xA;&#xA;<ul>&#xA;<li>Authentication </li>&#xA;<li>Seller</li>&#xA;<li>Buyer</li>&#xA;</ul>&#xA;&#xA;<p>Each of them got their own databases, models, services... etc</p>&#xA;&#xA;<p>Authentication service knows about users, user-groups, roles, permissions and creates token.</p>&#xA;&#xA;<p>Where should I store sellers/buyers entities? On Authentication service, or on Seller/Buyer services?</p>&#xA;&#xA;<p>How should Seller/Buyer services interact to create new seller/buyer entity?</p>&#xA;&#xA;<p>How should Seller/Buyer services check permissions?</p>&#xA;&#xA;<p>Seller and Buyer entities have some common fields: name, password, email..., but also each of them have their own additional fields.</p>&#xA;&#xA;<p>Seller and Buyer interact with each other.</p>&#xA;"
