Id,ParentId,OwnerUserId,CreationDate,Body
49450759,49450592,,2018-03-23T13:28:30,"<p>I would change the message pattern so that you have three messages;</p>&#xA;&#xA;<ol>&#xA;<li><p>First message is published containing order information. The outcome of this message being consumed is a second message being published containing additional information.</p></li>&#xA;<li><p>Second message containing the additional information is processed and the information persisted. This is where you publish the third message.</p></li>&#xA;<li><p>The third and final message acts as a notification to say ""hey, I <em>now</em> have everything needed to actually send the email"".</p></li>&#xA;</ol>&#xA;&#xA;<p>This way you don't have to check a database every x seconds and you can extended the message workflow rather cheaply.</p>&#xA;&#xA;<p>Hope that helps :)</p>&#xA;"
46502806,46471625,,2017-09-30T12:41:10,"<p>You can define the vendor dir to be a shares folder into your composer.json</p>&#xA;&#xA;<pre><code>{&#xA;    ""config"": {&#xA;        ""vendor-dir"": ""/usr/share/php/composer/vendor""&#xA;    }&#xA;}&#xA;</code></pre>&#xA;&#xA;<p>Can it help you ?</p>&#xA;"
51916127,51916102,,2018-08-19T09:04:48,"<p>Short answer: <strong>No</strong>, these are not the same and not subsets.</p>&#xA;&#xA;<blockquote>&#xA;  <p>Both have different components/services publishing or subscribing to eventBus/messagingQueues and performing the tasks associated with the published event. </p>&#xA;</blockquote>&#xA;&#xA;<p>This is wrong. Microservices are not necessary about events and publishing/subscribing.</p>&#xA;"
50035567,50035311,,2018-04-26T05:39:58,"<p>In my opinion, Sagas are use for the transactions, for example among microservices, to maintain consistency between them. </p>&#xA;&#xA;<blockquote>&#xA;  <p>You have applied the Database per Service pattern. Each service has&#xA;  its own database. Some business transactions, however, span multiple&#xA;  service so you need a mechanism to ensure data consistency across&#xA;  services. For example, lets imagine that you are building an&#xA;  e-commerce store where customers have a credit limit. The application&#xA;  must ensure that a new order will not exceed the customer’s credit&#xA;  limit. Since Orders and Customers are in different databases the&#xA;  application cannot simply use a local ACID transaction.&#xA;  Reference: <a href=""http://microservices.io/patterns/data/saga.html"" rel=""nofollow noreferrer"">http://microservices.io/patterns/data/saga.html</a></p>&#xA;</blockquote>&#xA;"
50056503,35289988,,2018-04-27T06:27:58,"<p>As far as I know, OAuth2 will only give you authorization. But I have seen some solution combining OAuth2 with another protocol / Technology, e.g. Oauth2 + OpenID Connect (OIDC).</p>&#xA;&#xA;<p>To answer to you question, my experience says that it's better to separate authentication from authorisation, as I might be different Services (or Providers). You could use Google or Github for the OAuth2, or AWS Cognito for Auth2+OpenIDConnect. Another known Provider with These two common Technologies (OAuth2+OIDC) is Okta.</p>&#xA;"
50538436,50430808,,2018-05-26T00:59:14,"<p>After investigation I chose AWS lambdas.  My application is a event management application and I want event driven architecture. In general question should have been container vs lambdas and I found a good <a href=""https://blog.bluesoftglobal.com/microservices-on-aws/"" rel=""nofollow noreferrer"">comparison</a>.  Starting with Spring is easy because it is so familiar to one with Java background.  It is good to write micro services with business logic and exposing as HTTP REST APIs.  I was reading domain driven design and it is good to decide micro services size based on boundaries (bounded contexts). </p>&#xA;&#xA;<p>But I also see going with Spring boot I will have to manage authentication (for an event management application we need social media login support), authorization, users, roles, policies, and also finally integrate microservices with API Gateway. AWS Serverless authentication and authorization is very <a href=""https://www.youtube.com/watch?v=VZqG7HjT2AQ&amp;feature=youtu.be"" rel=""nofollow noreferrer"">sophisticated</a>. Using NoSQL Database such as DynamoDB follows some of the microservices guidelines such as CQRS.  With Lambdas, the boundaries will be too small but in my use case AWS Lambdas suits better. </p>&#xA;"
50432324,29434226,,2018-05-20T06:38:30,"<p>If all microservices share the same database then it is not possible to move microservices to another host, it  breaks the principle of minimal data sharing, it increases dependency, and so on.<br>&#xA;Centralised data storage is operationally convenient but microservices should wish to embed all its dependencies in order to achieve independently deployable. Alternate approach is: each microservice embedded all its dependencies including database so moving this microservice to anywhere would be trivial, which is beautiful but not practical in current context.  </p>&#xA;&#xA;<p>Microservices should own its tables because sharing tables between Microservices will kill mobility; but, sharing database cluster installation is absolutely ok (Nadareishvili, Mitra, McLarty, &amp; Amundsen, 2016).  I found this approach to be best: Microservices owning independent schema within same database if database is Oracle or SQL Server.  If database is MySQL then micro services should own independent databases since I believe MySQL only supports one schema per database.  </p>&#xA;&#xA;<p>Microservices can own not only different database but also different type of database such as in my current application we are using MySQL for online transaction processing but using NoSQL for offline processing. </p>&#xA;&#xA;<p>Using Spring Boot and Spring Data JPA I don't face any issues with generating entities in each microservice. I am still duplicating entity code in microservices but it is only for the required entities.  We can always create a common jar and share between microservices but it is not suitable in all situations. &#xA;Similar discussion is in this <a href=""https://stackoverflow.com/questions/47647560/how-to-share-entity-between-rest-service-between-two-microservices"">question</a></p>&#xA;"
49485328,49469599,,2018-03-26T06:37:06,"<p>Let's consider a request that travels from the authenticated user to service A and on to service B. The JWT should be passed on each of these calls.</p>&#xA;&#xA;<p>Both services would first <strong>authenticate</strong> the user which is simply done by validating the JWT. Then each service would extract all information necessary to <strong>authorize</strong> the user from the user, for example the <code>sub</code> claim. It would use this information to decide if the user is authorized with respect to the operation that the service shall perform on behalf of the user. Only after successful authorization would the service actually do anything.</p>&#xA;&#xA;<p>This would not be overhead but necessary to allow service B to both authenticate and authorize the user. Not passing the JWT from sercice A to service B would make it impossible for service B to know anything about the user.</p>&#xA;"
48056373,48019661,,2018-01-02T06:16:55,"<p>I assume you mean SQLServer managed on AWS RDS by saying SQL, and it is not different from any other SQLServer instance. And your problem is not related to microservices or AWS in any way. If you access a same data source from multiple different instances a race condition will occur. There are 2 different ways to deal with this problem in SQL Server: </p>&#xA;&#xA;<ul>&#xA;<li>Pessimistic Locking</li>&#xA;<li>Optimistic Locking</li>&#xA;</ul>&#xA;&#xA;<p>You can choose one of the two options depending on your scenario. More information <a href=""https://stackoverflow.com/questions/129329/optimistic-vs-pessimistic-locking"">here</a></p>&#xA;&#xA;<p>In a <strong>pessimistic lock</strong> you lock the row when you read it via SELECT command. You should use <em>READ COMMITTED</em> isolation level or explicitly specify a <a href=""https://technet.microsoft.com/en-us/library/ms187373(v=sql.105).aspx"" rel=""nofollow noreferrer"">LOCK hint</a> in your query.</p>&#xA;&#xA;<p>For <strong>optimistic locking</strong>, you can define a column in the table, which will be changed every time you update a column: </p>&#xA;&#xA;<p><code>UPDATE RaceTable&#xA;SET UpdatedOn = @currentDate&#xA;WHERE Id = @id AND UpdatedOn = @lastUpdateDate</code></p>&#xA;&#xA;<p>More info about concurrency control in SQLServer:</p>&#xA;&#xA;<ul>&#xA;<li><a href=""https://technet.microsoft.com/en-us/library/ms189132(v=sql.105).aspx"" rel=""nofollow noreferrer"">https://technet.microsoft.com/en-us/library/ms189132(v=sql.105).aspx</a></li>&#xA;<li><a href=""https://docs.microsoft.com/en-us/sql/t-sql/statements/set-transaction-isolation-level-transact-sql"" rel=""nofollow noreferrer"">https://docs.microsoft.com/en-us/sql/t-sql/statements/set-transaction-isolation-level-transact-sql</a></li>&#xA;<li><a href=""https://technet.microsoft.com/en-us/library/ms175519(v=sql.105).aspx"" rel=""nofollow noreferrer"">https://technet.microsoft.com/en-us/library/ms175519(v=sql.105).aspx</a></li>&#xA;</ul>&#xA;&#xA;<p>Despite all, since you referred microservices architecture, I'd suggest you create separate DB's for each one of your services and communicate your services through API calls (preferably REST). More reading on this: <a href=""https://plainoldobjects.com/2015/09/02/does-each-microservice-really-need-its-own-database-2/"" rel=""nofollow noreferrer"">https://plainoldobjects.com/2015/09/02/does-each-microservice-really-need-its-own-database-2/</a></p>&#xA;"
36762076,36744042,,2016-04-21T07:04:34,"<p>Your service should handle the pagination and not hand it off the SQL. Make these steps:</p>&#xA;&#xA;<ol>&#xA;<li>Get <em>all</em> students from S1 (SQL database) where <code>class = C</code>.</li>&#xA;<li>Using the result, get all students from S2 that are in the result <em>and</em> where <code>state = X</code>.</li>&#xA;<li>Sort the second result in a stable way.</li>&#xA;<li>Get the requested page you want from the sorted result.</li>&#xA;</ol>&#xA;&#xA;<p>All this is done in the code that calls <em>both S1 and S2</em>. Only it has the knowledge to build the pages.</p>&#xA;"
